DATA,SIGLA_ESTADO,MUNICIPIO,CODIGO_MUNICIPIO_7,OBITOS_NOVOS,OBITOS,CASOS_NOVOS,CASOS,POPULACAO_ESTIMADA,OBITOS_NOVOS_MEDIA_14_DIAS,TAXA_OBITOS_NOVOS_MEDIA_14_DIAS,CASOS_NOVOS_MEDIA_14_DIAS,CASOS_NOVOS_MEDIA_56_DIAS,TAXA_CASOS_NOVOS_MEDIA_14_DIAS,TAXA_CASOS_NOVOS_MEDIA_56_DIAS,TAXA_FATALIDADE,NUMERO_REPRODUCAO_EFETIVO_MEDIA,NUMERO_REPRODUCAO_EFETIVO_VARIANCIA,NUMERO_REPRODUCAO_EFETIVO_QUANTIL_0.025,NUMERO_REPRODUCAO_EFETIVO_MEDIANA,NUMERO_REPRODUCAO_EFETIVO_QUANTIL_0.975
2021-05-30,TOTAL,TOTAL,0,913,462099,41447,16518909,210147125,1869.2857142857144,0.8895128659436641,63174.857142857145,63009.17857142857,30.062203869245007,29.98336454587641,2.99466293163426,0.9991437852731856,1.1388070701294057e-06,0.9970528001214516,0.999143405166788,1.0012369305382398
2021-05-31,TOTAL,TOTAL,0,965,463064,36599,16555508,210147125,1860.7857142857144,0.8854680806533585,63247.357142857145,62900.857142857145,30.09670350848585,29.93181902576928,2.992644465658282,1.0066720089959391,1.1487852728043697e-06,1.0045727682069128,1.0066716287486903,1.0087734106987318
2021-06-01,TOTAL,TOTAL,0,2332,465396,78904,16634412,210147125,1852.2857142857144,0.881423295363053,63540.57142857143,62789.857142857145,30.23623160610521,29.878998888448816,2.9610514176096463,1.0149478293547227,1.158662384897621e-06,1.0128394161296803,1.0149474489064607,1.0170584046358746
2021-06-02,TOTAL,TOTAL,0,2507,467903,96270,16730682,210147125,1852.857142857143,0.8816952137018971,64684.357142857145,62925.46428571428,30.780510151093974,29.943528509235747,2.9488632552767484,1.0238614191161073,1.1681518505580055e-06,1.0217441378169494,1.0238610388024845,1.0259808617062325
2021-06-03,TOTAL,TOTAL,0,1913,469816,76061,16806743,210147125,1810.2142857142856,0.8614033076656584,64161.71428571428,62702.66071428572,30.53180684042872,29.837505849430823,2.8451049555547074,1.0335054169841758,1.1769039457314036e-06,1.031380414919192,1.033505037468838,1.0356325758035374
2021-06-04,TOTAL,TOTAL,0,1191,471007,43168,16849911,210147125,1743.428571428571,0.8296228518132577,61772.21428571428,61900.357142857145,29.39474631675988,29.455724004245663,2.740781248420918,1.043727182213663,1.1845811053734014e-06,1.0415950038342707,1.043726803875159,1.0458615106595823
2021-06-05,TOTAL,TOTAL,0,1670,472677,61660,16911571,210147125,1739.428571428571,0.8277194234413491,61327.0,61813.267857142855,29.182887941008,29.41428194991621,2.715756674803974,1.0541442788597533,1.190599776176477e-06,1.052006736439373,1.0541439023756478,1.05628396080827
2021-06-06,TOTAL,TOTAL,0,880,473557,40343,16951914,210147125,1738.7857142857142,0.8274135153101496,61459.357142857145,61834.16071428572,29.245871026242757,29.4242239641802,2.697395904319623,1.064124037005834,1.193905656468878e-06,1.0619833001655523,1.0641236629399615,1.0662668996316331
2021-06-07,TOTAL,TOTAL,0,1149,474706,39701,16991615,210147125,1759.357142857143,0.8372025755085362,61619.0,61835.25,29.321838212157317,29.42474230851362,2.725747585880249,1.0728124728792965,1.1938798494978171e-06,1.0706716514248504,1.072812101816532,1.0749554030528434
2021-06-08,TOTAL,TOTAL,0,2647,477353,55703,17047318,210147125,1792.5,0.8529738391614922,60310.21428571428,61354.232142857145,28.69904324682733,29.195846549343536,2.7650272260700364,1.0793815505884303,1.189699266597264e-06,1.0772452639295116,1.0793811833476878,1.0815199242462183
