,DATA,OBITOS_NOVOS_PAINEL,OBITOS_ACUMULADO_PAINEL,CASOS_NOVOS_PAINEL,CASOS_ACUMULADO_PAINEL,day_of_week,CASOS_NOVOS_MEDIA_MOVEL_7_DIAS_PAINEL,OBITOS_NOVOS_MEDIA_MOVEL_7_DIAS_PAINEL,OBITOS_NOVOS_SIM,OBITOS_ACUMULADO_SIM,OBITOS_NOVOS_MEDIA_MOVEL_7_DIAS_SIM,POPULACAO_2022,TAXA_OBITOS_NOVOS_SIM,TAXA_OBITOS_NOVOS_MEDIA_MOVEL_7_DIAS_SIM,TAXA_OBITOS_SIM,NOVOS_CASOS_SRAG,NOVOS_OBITOS_SRAG,CASOS_INICIO_SINTOMAS_ESTIMADOS,NUMERO_REPRODUCAO_EFETIVO_MEDIA,NUMERO_REPRODUCAO_EFETIVO_VARIANCIA,NUMERO_REPRODUCAO_EFETIVO_QUANTIL_0.025,NUMERO_REPRODUCAO_EFETIVO_MEDIANA,NUMERO_REPRODUCAO_EFETIVO_QUANTIL_0.975,NUMERO_REPRODUCAO_EFETIVO_ATRASADO_MEDIA,NUMERO_REPRODUCAO_EFETIVO_ATRASADO_VARIANCIA,NUMERO_REPRODUCAO_EFETIVO_ATRASADO_QUANTIL_0.025,NUMERO_REPRODUCAO_EFETIVO_ATRASADO_MEDIANA,NUMERO_REPRODUCAO_EFETIVO_ATRASADO_QUANTIL_0.975,NUMERO_REPRODUCAO_EFETIVO_SRAG_MEDIA,NUMERO_REPRODUCAO_EFETIVO_SRAG_VARIANCIA,NUMERO_REPRODUCAO_EFETIVO_SRAG_QUANTIL_0.025,NUMERO_REPRODUCAO_EFETIVO_SRAG_MEDIANA,NUMERO_REPRODUCAO_EFETIVO_SRAG_QUANTIL_0.975,TAXA_FATALIDADE,TAXA_FATALIDADE_SRAG,NOVOS_OBITOS_MEDIA_MOVEL_7_DIAS_SRAG,NOVOS_CASOS_MEDIA_MOVEL_7_DIAS_SRAG,EPIDEMIC_EPISODE,ONSET_NUMERO_REPRODUCAO_EFETIVO_MEDIA,ONSET_TAXA_OBITOS_NOVOS_MEDIA_MOVEL_7_DIAS
980,2022-10-23,8.0,687574.0,1636.0,34783786.0,6.0,4961.142857142857,59.85714285714285,11.0,696512.0,10.0,203062512.0,0.0054170510803096,0.0049245918911906,343.0037347316968,82,16.0,792.0243497755529,1.0182296151463497,1.4618770152258015e-05,1.0107384974696512,1.0182248154676603,1.0257464163468224,1.3141503792237712,0.0001372060527796,1.2913047426263329,1.3141156178756268,1.3372700769329962,1.308412788493079,0.0012614907573393,1.2399576322811257,1.308085772407204,1.379485653122568,0.1942335342935701,23.237597911227155,12.714285714285714,76.14285714285714,3,8,
981,2022-10-24,92.0,687666.0,9523.0,34793309.0,0.0,5531.285714285715,60.42857142857143,7.0,696519.0,10.142857142857142,203062512.0,0.0034472143238334,0.0049949432039219,343.00718194602064,109,11.0,862.7894119548118,1.018345402668127,1.4570849530036273e-05,1.0108705139113354,1.0183406318468275,1.025841533768578,1.354438865957393,0.0001360076594354,1.3316309076836534,1.3544052500537087,1.3774331412141254,1.3417882638546776,0.0012403739405766,1.2737041463667726,1.3414807233023254,1.4118846971371777,0.1301944946327984,23.037974683544306,13.0,82.71428571428571,3,8,
982,2022-10-25,44.0,687710.0,6015.0,34799324.0,1.0,5207.285714285715,54.85714285714285,11.0,696530.0,10.857142857142858,203062512.0,0.0054170510803096,0.0053466997675783,343.0125989971009,98,15.0,925.3892746518488,1.020684073187747,1.4561924795630894e-05,1.0132251120655211,1.0206793169000568,1.0281773244954742,1.3941172905327643,0.0001337808913372,1.3715407285405203,1.3940851877553293,1.416909021308676,1.3774628957817974,0.0012161719767719,1.3100171248541956,1.3771663104321576,1.4474393431902337,0.2359646972297131,23.891625615763548,13.857142857142858,86.28571428571429,3,8,
983,2022-10-26,197.0,687907.0,7751.0,34807075.0,2.0,5107.857142857143,69.14285714285714,5.0,696535.0,10.0,203062512.0,0.0024622959455953,0.0049245918911906,343.01506129304653,95,6.0,1023.3716684385151,1.0261728002434514,1.4590790518823562e-05,1.01870941765121,1.0261680731263316,1.0336630466482717,1.432549088192329,0.0001306784782236,1.4102425090664483,1.4325186925341076,1.4549866159806488,1.4120882267274304,0.0011887210447886,1.3457196939123457,1.411811672471671,1.4804050524807109,0.1117318435754189,20.863309352517987,12.428571428571429,90.57142857142856,3,8,
984,2022-10-27,55.0,687962.0,8183.0,34815258.0,3.0,5571.285714285715,68.42857142857143,17.0,696552.0,10.857142857142858,203062512.0,0.008371806215024,0.0053466997675783,343.0234330992616,103,16.0,1121.3540622251817,1.0345813718678003,1.465526924296438e-05,1.0270923652940471,1.0345766510044572,1.0420972067144867,1.4684719565079838,0.000126618331639,1.4464545040918138,1.468443083569909,1.4906525440050655,1.4491332067004454,0.0011576573799127,1.3828668075868926,1.448862631864397,1.5171201097440443,0.4013084679459077,21.14942528735632,13.142857142857142,91.57142857142856,3,8,
985,2022-10-28,118.0,688080.0,6969.0,34822227.0,4.0,5966.428571428572,79.0,15.0,696567.0,10.571428571428571,203062512.0,0.0073868878367859,0.0052059971421158,343.0308199870984,134,12.0,1227.5016554940698,1.0471049991621515,1.476639015176472e-05,1.0395917266666332,1.0471003046312437,1.0546449502856514,1.5013501799153786,0.0001217668344365,1.4797742864751875,1.501323129336882,1.5230610161588385,1.488730660997572,0.001121406853124,1.423671309059654,1.488479058308673,1.5547472835743286,0.3553179249433183,19.29824561403509,12.571428571428571,99.0,3,8,
986,2022-10-29,11.0,688091.0,1842.0,34824069.0,5.0,5988.428571428572,75.0,17.0,696584.0,11.857142857142858,203062512.0,0.008371806215024,0.0058391589566974,343.03919179331336,105,11.0,1339.0927150844398,1.0657831200936208,1.4951765124074932e-05,1.0582126522095363,1.0657784375114487,1.07337597468345,1.5296241047137524,0.0001162212047647,1.5085408351010958,1.529598715842576,1.5508516570995,1.5258023960788725,0.0010794270073968,1.4620465245407903,1.5255686991869477,1.5906288609844457,0.3914344922864379,19.727891156462583,12.428571428571429,103.71428571428572,3,8,
987,2022-10-30,1.0,688092.0,797.0,34824866.0,6.0,5868.571428571428,74.0,14.0,696598.0,12.285714285714286,203062512.0,0.0068944286476668,0.0060502128948913,343.04608622196105,139,16.0,1445.2403083533286,1.092685011779095,1.5210111188957111e-05,1.0850618699799734,1.0926803809889123,1.100334469973209,1.553336377509821,0.0001101763767303,1.5327941452169878,1.5533126495233658,1.574002045767802,1.561379111039492,0.0010319014404929,1.499380439350578,1.5611611896154094,1.624981614616357,0.3127593029935533,19.07894736842105,12.428571428571429,111.85714285714286,3,8,
988,2022-10-31,65.0,688157.0,3883.0,34828749.0,0.0,5062.857142857143,70.14285714285714,8.0,696606.0,12.428571428571429,203062512.0,0.0039396735129525,0.0061205642076226,343.050025895474,128,7.0,1586.7704327118463,1.129136662552641,1.5553963142620175e-05,1.1214379863563897,1.1291320923789954,1.1368613106653402,1.5720915930546115,0.0001037300759968,1.552204553797614,1.572069626064633,1.5921399721221436,1.5926052977103318,0.0009802975794131,1.532394885094349,1.5924026327559355,1.6542874063843285,0.1615369082989586,18.08278867102397,11.857142857142858,114.57142857142856,3,8,
989,2022-11-01,62.0,688219.0,8286.0,34837035.0,1.0,5387.285714285715,72.71428571428571,10.0,696616.0,12.285714285714286,203062512.0,0.0049245918911906,0.0060502128948913,343.05495048736515,266,12.0,1741.9092228740683,1.1755778323553914,1.59643624127733e-05,1.167756944697889,1.1755733026256625,1.1834244620901229,1.5865766058908055,9.700922552907178e-05,1.5673612933388394,1.586556236603105,1.6058634937810266,1.617896228684403,0.0009203105462952,1.5586360782694006,1.6177045937793515,1.6779857349571956,0.1923393966038358,16.359918200408995,11.428571428571429,138.57142857142858,3,8,
