days_to_fit_within_outbreak,outbreak,alpha,estimation,result_fun,result_nfev,result_nit,result_success,start_time,end_time,duration_seconds,pop_size,period_in_days,days_to_recovery,date_first_case,outbreak_start_date,max_date_to_fit,max_date_to_analyze,list_breakpoints_in_slow_transition,x_initial_infected_population,x_days_between_infections_0,x_case_fatality_probability_0,x_loss_immunity_in_days_0,x_days_between_infections_1,x_breakpoint_1,x_transition_days_between_epidemic_periods_1
28.0,0.0,0.0,13.0,0.3465808285461117,3322.0,85.0,True,2023-12-05 16:15:03,2023-12-05 16:15:24,21.572374,5.0,133.0,8.0,2020-02-16,2020-03-01,2020-03-29,2020-06-28,[],0.014696744652189134,3.1726147328034053,0.00496383585320945,249.53417340474456,5.427098831231825,41.60108454546271,2.143100657490244
28.0,0.0,0.0,14.0,0.3737831898089915,2645.0,54.0,True,2023-12-05 16:15:24,2023-12-05 16:15:45,20.710465,5.0,133.0,8.0,2020-02-16,2020-03-01,2020-03-29,2020-06-28,[],0.01780756822993029,3.179065648346417,0.004326366152417041,319.0660901431921,3.2456888996227673,29.344758500050187,13.565909897774262
28.0,0.0,0.0,15.0,0.37325760491282767,2598.0,65.0,True,2023-12-05 16:15:45,2023-12-05 16:16:02,16.749606,5.0,133.0,8.0,2020-02-16,2020-03-01,2020-03-29,2020-06-28,[],0.021113353868985565,3.1727045098881175,0.003721036854124251,184.9599919175152,3.2709339114246205,28.193736882751654,11.428744985865755
28.0,0.0,0.0,16.0,0.3462872807428473,2250.0,53.0,True,2023-12-05 16:16:02,2023-12-05 16:16:19,17.098487,5.0,133.0,8.0,2020-02-16,2020-03-01,2020-03-29,2020-06-28,[],0.03185173838308031,3.189364516983006,0.0024050552546199056,112.2887277077578,5.717181765116294,41.29198519540953,0.8016063372755369
28.0,0.0,0.0,17.0,0.3475191561654273,2884.0,75.0,True,2023-12-05 16:16:19,2023-12-05 16:16:37,17.965607,5.0,133.0,8.0,2020-02-16,2020-03-01,2020-03-29,2020-06-28,[],0.021506930357099396,3.1793281794155566,0.003417847753991786,124.1282799596025,5.091269348576945,41.04225865295071,1.1051824925998304
28.0,0.0,0.0,18.0,0.3458912410230104,4918.0,121.0,True,2023-12-05 16:16:37,2023-12-05 16:17:12,35.268841,5.0,133.0,8.0,2020-02-16,2020-03-01,2020-03-29,2020-06-28,[],0.01087805421717946,3.1873377618508183,0.007151918176600512,294.0676085778224,5.7117808008029405,41.501133623158104,2.1624909260249154
28.0,0.0,0.0,19.0,0.3724291361085597,2372.0,43.0,True,2023-12-05 16:17:12,2023-12-05 16:17:34,21.542891,5.0,133.0,8.0,2020-02-16,2020-03-01,2020-03-29,2020-06-28,[],0.013627943630734976,3.177676756215353,0.00583975799930748,139.69053068780556,3.3710075737386678,37.01943633363427,19.58088118287676
35.0,0.0,0.0,0.0,0.25278636804904897,7420.0,203.0,True,2023-12-05 16:17:34,2023-12-05 16:18:18,44.542456,5.0,140.0,8.0,2020-02-16,2020-03-01,2020-04-05,2020-07-05,[],0.03233766539146044,3.172595499099954,0.00423564513787936,195.36366241879148,5.498732061121838,48.58434395122963,28.40982629720313
35.0,0.0,0.0,1.0,0.25522901084499,3435.0,88.0,True,2023-12-05 16:18:18,2023-12-05 16:18:43,24.441131,5.0,140.0,8.0,2020-02-16,2020-03-01,2020-04-05,2020-07-05,[],0.024255767630661992,3.169851802701888,0.005283256294506414,148.37156923474356,5.4068804862398565,48.5845909400313,27.31360288023665
35.0,0.0,0.0,2.0,0.25213579926274116,5380.0,147.0,True,2023-12-05 16:18:43,2023-12-05 16:19:20,37.250285,5.0,140.0,8.0,2020-02-16,2020-03-01,2020-04-05,2020-07-05,[],0.011048890274128293,3.174646693476835,0.012433135231234243,105.26925137601818,5.532806340078732,48.719004725508476,27.99527127006053
35.0,0.0,0.0,3.0,0.2515561779450065,6050.0,165.0,True,2023-12-05 16:19:20,2023-12-05 16:20:01,40.969915,5.0,140.0,8.0,2020-02-16,2020-03-01,2020-04-05,2020-07-05,[],0.022412076408654193,3.1704605821631393,0.005989963824497972,211.4002383404421,5.523000828620907,48.90243239426346,28.1816229904046
35.0,0.0,0.0,4.0,0.2523195792980408,4982.0,129.0,True,2023-12-05 16:20:01,2023-12-05 16:20:38,36.666988,5.0,140.0,8.0,2020-02-16,2020-03-01,2020-04-05,2020-07-05,[],0.015039076859899407,3.1741221938006356,0.009193672496234949,311.208021441543,5.614928467526073,48.92459045135468,27.531841509274148
35.0,0.0,0.0,5.0,0.254374797984311,4712.0,127.0,True,2023-12-05 16:20:38,2023-12-05 16:21:11,33.744768,5.0,140.0,8.0,2020-02-16,2020-03-01,2020-04-05,2020-07-05,[],0.042413004628686066,3.1806980895726222,0.0034576255992630218,201.82154872418647,5.853996453828624,48.475254174718636,26.681350058241048
35.0,0.0,0.0,6.0,0.2530744308133558,4315.0,104.0,True,2023-12-05 16:21:11,2023-12-05 16:21:47,35.361173,5.0,140.0,8.0,2020-02-16,2020-03-01,2020-04-05,2020-07-05,[],0.021661736741702714,3.171477093718243,0.006337357227819561,222.08713107190354,5.533342750576392,48.781609876167366,28.048520724368075
35.0,0.0,0.0,7.0,0.25286295577261725,2881.0,74.0,True,2023-12-05 16:21:47,2023-12-05 16:22:13,25.994253,5.0,140.0,8.0,2020-02-16,2020-03-01,2020-04-05,2020-07-05,[],0.03174739408760419,3.170040306384463,0.004244125000679023,239.8159442080577,5.481382159132541,48.70458477264059,28.299379807399063
35.0,0.0,0.0,8.0,0.25597711692647607,5043.0,128.0,True,2023-12-05 16:22:13,2023-12-05 16:22:50,37.406111,5.0,140.0,8.0,2020-02-16,2020-03-01,2020-04-05,2020-07-05,[],0.02466706823980014,3.1728040658629917,0.005043601002378249,285.10864724159626,5.0865406571043685,48.694008225833315,28.40986303185261
35.0,0.0,0.0,9.0,0.25206529913960235,4928.0,127.0,True,2023-12-05 16:22:50,2023-12-05 16:23:26,35.605779,5.0,140.0,8.0,2020-02-16,2020-03-01,2020-04-05,2020-07-05,[],0.023996595257719886,3.1724056135250414,0.0055617633411854965,355.5535369607967,5.476278951018474,48.98367544874813,28.14379925696342
35.0,0.0,0.0,10.0,0.2529498487068996,4215.0,108.0,True,2023-12-05 16:23:26,2023-12-05 16:23:51,25.437149,5.0,140.0,8.0,2020-02-16,2020-03-01,2020-04-05,2020-07-05,[],0.021016348407222985,3.169512540876628,0.006665437768452043,195.86946327953393,5.946996299249689,48.81922752316433,27.330434944872813
35.0,0.0,0.0,11.0,0.25295087018557444,3465.0,90.0,True,2023-12-05 16:23:51,2023-12-05 16:24:12,20.432968,5.0,140.0,8.0,2020-02-16,2020-03-01,2020-04-05,2020-07-05,[],0.021092719873241187,3.1713454484139656,0.006381016223475002,121.08576121005319,5.652310990544783,48.70452640865436,27.041329740295538
35.0,0.0,0.0,12.0,0.2565351478502885,3996.0,107.0,True,2023-12-05 16:24:12,2023-12-05 16:24:34,22.818712,5.0,140.0,8.0,2020-02-16,2020-03-01,2020-04-05,2020-07-05,[],0.02906523821874389,3.1802353270008137,0.005055620270784186,233.09691340378123,5.67053083286521,48.03738455129189,26.681862709863065
35.0,0.0,0.0,13.0,0.2702184606276128,3483.0,88.0,True,2023-12-05 16:24:34,2023-12-05 16:24:56,21.571578,5.0,140.0,8.0,2020-02-16,2020-03-01,2020-04-05,2020-07-05,[],0.01060663403837766,3.1752811159241747,0.011730058251240016,164.5878717725588,4.4130449346371625,39.08431613510225,18.52030584486219
35.0,0.0,0.0,14.0,0.25242349988774926,4329.0,114.0,True,2023-12-05 16:24:56,2023-12-05 16:25:22,26.375985,5.0,140.0,8.0,2020-02-16,2020-03-01,2020-04-05,2020-07-05,[],0.01992601144523642,3.171697951990595,0.006891570294522835,180.58384727640873,5.5684375888275595,48.828530600362036,27.625175392233253
