date,S,I,R,D,I_accumulated,D_new_deaths,reproduction_number_sird,I_new_cases,days_between_infections,case_fatality_probability,loss_immunity_in_days,train_period,outbreak,alpha,estimation,days_to_fit_within_outbreak
2020-05-17,89742.73615756485,3413.85575581997,6814.737696987514,28.670389627660175,10600.15133025071,1.6689759133303816,1.3209542294206709,550.9278119920073,5.466829081826033,0.0039895923192571,256.7878798025039,False,0.0,0.0,15.0,35.0
2020-05-18,89200.59495348425,3548.3235844729547,7220.675590344735,30.40587169805284,11169.621517920627,1.735482070392667,1.3132693166633838,569.4701876699164,5.466829081826033,0.0039895923192571,256.7878798025039,False,0.0,0.0,15.0,35.0
2020-05-19,88641.4664101416,3684.4239860304215,7641.9005695082815,32.20903431969544,11757.688556003592,1.803162621642599,1.3053357786512605,588.0670380829652,5.466829081826033,0.0039895923192571,256.7878798025039,False,0.0,0.0,15.0,35.0
2020-05-20,88065.58234832363,3821.8192465183915,8078.517868955414,34.080536202550896,12364.179837611822,1.8715018828554548,1.2971536528159908,606.4912816082306,5.466829081826033,0.0039895923192571,256.7878798025039,False,0.0,0.0,15.0,35.0
2020-05-21,87473.46557728319,3960.047490003299,8530.466551181375,36.020381532123466,12988.634535917505,1.9398453295725702,1.2887263315561046,624.4546983056825,5.466829081826033,0.0039895923192571,256.7878798025039,False,0.0,0.0,15.0,35.0
2020-05-22,86865.3853266211,4098.75504053259,8997.830487972098,38.02914487420327,13630.842991134183,2.008763342079803,1.280061465511415,642.208455216678,5.466829081826033,0.0039895923192571,256.7878798025039,False,0.0,0.0,15.0,35.0
2020-05-23,86241.60673390668,4237.589968183905,9480.695887910548,40.10740999884449,14290.59959657442,2.07826512464122,1.2711629945102476,659.7566054402378,5.466829081826033,0.0039895923192571,256.7878798025039,False,0.0,0.0,15.0,35.0
2020-05-24,85602.65734354363,4376.115370695697,9978.972233341578,42.255052419102626,14967.436247053036,2.147642420258137,1.262034798499319,676.8366504786154,5.466829081826033,0.0039895923192571,256.7878798025039,False,0.0,0.0,15.0,35.0
2020-05-25,84949.38520087917,4513.79056148629,10492.35315504413,44.47108259039456,15660.564224484391,2.2160301712919335,1.2526845974112744,693.1279774313552,5.466829081826033,0.0039895923192571,256.7878798025039,False,0.0,0.0,15.0,35.0
2020-05-26,84282.35472052616,4650.16669901701,11020.7233039467,46.75527651013732,16369.478540594744,2.284193919742762,1.2431248012971254,708.914316110353,5.466829081826033,0.0039895923192571,256.7878798025039,False,0.0,0.0,15.0,35.0
2020-05-27,83602.1262349582,4784.796263623697,11563.970080224333,49.1074211937673,17093.678290675412,2.35214468362998,1.233363669637524,724.1997500806683,5.466829081826033,0.0039895923192571,256.7878798025039,False,0.0,0.0,15.0,35.0
2020-05-28,82909.65839615805,4917.171100174366,12121.644572124362,51.52593154320395,17832.25801130983,2.4185103494366516,1.223409402176274,738.5797206344178,5.466829081826033,0.0039895923192571,256.7878798025039,False,0.0,0.0,15.0,35.0
2020-05-29,82206.27979329372,5046.726738659696,12692.985519929538,54.00794811702995,18583.936507272527,2.4820165738259945,1.2132760275499892,751.6784959626966,5.466829081826033,0.0039895923192571,256.7878798025039,False,0.0,0.0,15.0,35.0
2020-05-30,81492.83192737916,5172.972857630552,13277.642925616616,56.552289373666795,19347.927301145563,2.544341256636848,1.2029829879493528,763.9907938730357,5.466829081826033,0.0039895923192571,256.7878798025039,False,0.0,0.0,15.0,35.0
2020-05-31,80770.15059848134,5295.420003482783,13875.271604625965,59.15779340990729,20123.44970575648,2.6055040362404966,1.1925425976574908,775.5224046109179,5.466829081826033,0.0039895923192571,256.7878798025039,False,0.0,0.0,15.0,35.0
2020-06-01,80039.07160666725,5413.578722612235,14485.526372397964,61.823298322544204,20909.72303393282,2.665504912636912,1.1819670875315158,786.2733281763394,5.466829081826033,0.0039895923192571,256.7878798025039,False,0.0,0.0,15.0,35.0
2020-06-02,79300.4307520039,5526.959561414756,15108.062044372977,64.54764220837035,21705.966598502124,2.724343885826144,1.1712686884285404,796.243564569304,5.466829081826033,0.0039895923192571,256.7878798025039,False,0.0,0.0,15.0,35.0
2020-06-03,78555.07718634007,5635.075398412081,15742.517817002583,67.32959824522833,22511.38577234165,2.781956036857977,1.1604596312056779,805.4191738395275,5.466829081826033,0.0039895923192571,256.7878798025039,False,0.0,0.0,15.0,35.0
2020-06-04,77804.62627240525,5737.572944467656,16387.636568981863,70.16421414521353,23324.38596457061,2.8346158999852094,1.149552342106164,813.0001922289593,5.466829081826033,0.0039895923192571,256.7878798025039,False,0.0,0.0,15.0,35.0
2020-06-05,77050.60339917304,5834.083194930144,17042.266430806547,73.04697509025313,24143.466521559156,2.8827609450395926,1.1385704598822675,819.0805569885451,5.466829081826033,0.0039895923192571,256.7878798025039,False,0.0,0.0,15.0,35.0
2020-06-06,76294.17225047182,5924.173966919033,17705.678657666365,75.97512494276779,24967.50442854251,2.9281498525146645,1.1275363066362638,824.0379069833543,5.466829081826033,0.0039895923192571,256.7878798025039,False,0.0,0.0,15.0,35.0
2020-06-07,75536.49651012993,6007.413077553814,18377.144504751057,78.94590756517822,25795.37667075591,2.9707826224104252,1.1164669113816597,827.8722422134015,5.466829081826033,0.0039895923192571,256.7878798025039,False,0.0,0.0,15.0,35.0
2020-06-08,74778.73986197574,6083.368343953977,19055.93522725035,81.95656681990504,26625.960233434584,3.010659254726818,1.1053793031319603,830.583562678672,5.466829081826033,0.0039895923192571,256.7878798025039,False,0.0,0.0,15.0,35.0
2020-06-09,74022.06598983763,6151.607583239012,19741.32208035398,85.00434656936892,27458.132101813764,3.047779749463885,1.0942905109006715,832.1718683791805,5.466829081826033,0.0039895923192571,256.7878798025039,False,0.0,0.0,15.0,35.0
2020-06-10,73267.643869885,6211.770518619455,20432.499456600657,88.08615489487079,28290.75700295108,3.081808325501868,1.0832175637013002,832.6249011373147,5.466829081826033,0.0039895923192571,256.7878798025039,False,0.0,0.0,15.0,35.0
2020-06-11,72516.68751264652,6264.108747081132,21128.007697672198,91.19604260013713,29122.59535483525,3.1098877052663454,1.0721775679939436,831.8383518841729,5.466829081826033,0.0039895923192571,256.7878798025039,False,0.0,0.0,15.0,35.0
