location,estimation,result_fun,result_nfev,result_nit,result_success,start_time,end_time,duration_seconds,pop_size,period_in_days,days_to_recovery,cumulative_days_in_first_outbreak_to_max_bound_I0,date_first_case,list_breakpoints_in_slow_transition,x_initial_infected_population,x_days_between_infections_0,x_case_fatality_probability_0,x_loss_immunity_in_days_0,x_case_fatality_probability_1,x_loss_immunity_in_days_1,x_case_fatality_probability_2,x_loss_immunity_in_days_2,x_case_fatality_probability_3,x_loss_immunity_in_days_3,x_case_fatality_probability_4,x_loss_immunity_in_days_4,x_days_between_infections_1,x_breakpoint_1,x_transition_days_between_epidemic_periods_1,x_days_between_infections_2,x_breakpoint_2,x_transition_days_between_epidemic_periods_2,x_days_between_infections_3,x_breakpoint_3,x_transition_days_between_epidemic_periods_3,x_days_between_infections_4,x_breakpoint_4,x_transition_days_between_epidemic_periods_4,x_days_between_infections_5,x_breakpoint_5,x_transition_days_between_epidemic_periods_5,x_days_between_infections_6,x_breakpoint_6,x_transition_days_between_epidemic_periods_6,x_days_between_infections_7,x_breakpoint_7,x_transition_days_between_epidemic_periods_7,x_days_between_infections_8,x_breakpoint_8,x_transition_days_between_epidemic_periods_8,x_days_between_infections_9,x_breakpoint_9,x_transition_days_between_epidemic_periods_9,x_days_between_infections_10,x_breakpoint_10,x_transition_days_between_epidemic_periods_10,x_days_between_infections_11,x_breakpoint_11,x_transition_days_between_epidemic_periods_11,x_days_between_infections_12,x_breakpoint_12,x_transition_days_between_epidemic_periods_12,x_days_between_infections_13,x_breakpoint_13,x_transition_days_between_epidemic_periods_13
United Kingdom,3.0,0.2170676413339244,149566.0,603.0,True,2023-12-13 23:11:18,2023-12-14 00:16:48,3929.348491,5.0,1042.0,8.0,,2020-02-24,"[1, 3, 6, 9]",0.0014808122854088,1.9749602563818769,0.0123807487797181,300.79743206405,0.0027962670096532,244.06618478713648,0.0003325950442448,252.90688271466271,0.0012054298126522,120.46375889559933,0.000297656247095,279.8385097737198,9.619474929669202,37.04638787009578,13.014447801599683,5.468774799119766,187.0753410194856,8.357573744217287,3.724264800476715,312.1131052055577,5.681708115612377,2.875421854847524,469.5103916096133,12.598630750202911,3.973777003166485,509.0673046885536,29.967198701294716,4.778076735188318,598.2566063121249,34.62921985763047,4.708052217849963,672.4504259255399,19.21317606561072,5.569071349384948,745.9497974294704,53.7175613995629,4.585369505241019,835.1822263014985,7.579258973568134,3.551274335487637,937.3336029023734,3.4243907184737274,2.4200144949741,1012.808908999842,10.787963447180331,2.300375071734778,1017.6458787789604,10.037712143979544,,,
United States,3.0,0.1435016009220831,447716.0,1959.0,True,2023-12-14 00:16:48,2023-12-14 03:07:31,10243.708923,5.0,1055.0,8.0,0.0,2020-02-11,"[2, 4, 7, 9]",0.0028369987810284,2.638638473480838,0.0047860744274741,297.9345499251616,0.0028951120333684,125.82478568070054,0.0026140521792569,92.52892999602943,0.0005572488560215,231.7645899863305,0.0008379286260744,326.78283836691924,8.628343471497374,51.37453892413453,16.461917633075245,7.204913516637589,131.953286709177,5.316500115367308,5.265362809623424,272.461043745833,31.247250107489048,7.504135739613503,327.0660760593626,49.66365139402575,5.4105504107099485,516.9519563366637,10.142245490975352,7.194452408232463,575.4286582891439,19.01907737722523,5.13839277550964,657.0689714687416,26.079703631732464,4.402278460800709,828.4984325338637,16.559266929815095,5.843452033762175,974.3158584303663,54.52349241720908,3.505946840403112,1015.74624109384,55.2187129980978,4.4992121399127445,1030.6402664885068,13.18971014730574,,,,,,
Spain,4.0,0.248806260124588,521149.0,2026.0,True,2023-12-14 03:07:31,2023-12-14 07:12:38,14706.235658,5.0,1068.0,8.0,0.0,2020-01-29,"[3, 4, 8, 10]",0.0037158977274346,2.5068786568220074,0.0019655729693417,127.93454971055748,0.0011148388716849,341.9096566060169,0.0009667242363168,327.1509600155136,0.0024619328919496,181.76690985649012,0.0005445669451417,231.053014407247,9.72691560732824,56.080459856024575,17.162294867822432,4.413556263806633,168.8389868620984,4.303720443640028,5.13081935313931,195.4624484685764,21.14901363851221,2.790646431139708,337.65534435406585,6.769908974193299,2.486466384034301,529.887209937302,8.070070167169455,4.78066872972279,564.6627587483629,15.317591454965244,3.6452506025192046,642.7475470475405,10.822612143903612,6.596430249807302,730.0021484421551,11.330348622621592,4.040614115508268,817.4523822246409,50.453006212404574,6.499916065407199,872.889177217988,53.14237178630916,5.460701455144559,978.9187481746962,45.35317452479384,5.522233603138323,1023.6211359751428,32.1273496176353,5.769975908404766,1043.80663059037,21.081702827172524
United Kingdom,4.0,0.3017842630811734,157118.0,641.0,True,2023-12-14 07:12:38,2023-12-14 08:17:59,3921.656876,5.0,1042.0,8.0,,2020-02-24,"[1, 3, 6, 9]",0.0014807980317111,1.9797374341694791,0.0128655165297756,318.47473862185365,0.0098756992461311,239.93593663033872,0.000838259386668,338.8356956407182,0.0010076078648836,150.16455681734445,0.0004092765947171,239.0647201880642,10.378862747722762,36.99599818246647,13.947874670031233,5.447883380503142,189.06372517459695,10.204610131395786,7.888529699339283,309.7745908256169,55.15173388879059,4.572879978738888,466.1557546992418,16.159149779020154,6.009473127974871,513.5997715401743,51.180670877058105,5.690610513214045,593.4464211692915,46.76197562854673,5.115521582286048,660.0292209616896,18.26007498162022,5.10781764169215,739.3311051067444,4.388463948061304,4.666207193114135,834.2190803194012,1.716302307983785,3.930900349038255,939.2998233565964,6.718740882195757,5.322516252348322,1008.9620902131912,49.551244055532784,2.8598526617182323,1017.5975429762572,18.507232074137058,,,
United States,4.0,0.1435727446549597,478098.0,2111.0,True,2023-12-14 08:17:59,2023-12-14 11:19:44,10904.744505,5.0,1055.0,8.0,0.0,2020-02-11,"[2, 4, 7, 9]",0.0045527577802802,2.8481233989280863,0.0103900320885329,215.7798153244188,0.0032239025666465,187.69441162454493,0.003281988829594,121.6611078380098,0.0004069600321251,264.2447355975733,0.0004058927247824,199.3364809949567,8.977578142598166,53.11861116430583,16.151707165937907,7.202906300545604,131.0572586393561,8.673325528507835,5.985224400484131,260.0132858314608,22.093816644178336,7.367901873968277,340.7636268113132,30.69487072674239,5.051484191821852,522.6559659567891,5.411434601417934,7.139321368735312,571.5901153352256,22.569285202409763,5.091337334857069,657.684417276987,28.372082424775524,3.745524352343157,828.3436022155589,43.25576039892472,3.311001368613572,978.9939981805128,27.81502970425063,3.802462482711466,1018.0864938150032,42.92313683132063,3.0405604342266304,1030.1861546121036,22.454161019603006,,,,,,
Spain,5.0,0.2471600997678895,316656.0,1231.0,True,2023-12-14 11:19:44,2023-12-14 13:47:14,8850.443831,5.0,1068.0,8.0,0.0,2020-01-29,"[3, 4, 8, 10]",0.002277729535543,2.6526699468435018,0.0059362691572717,138.85540302191447,0.0007595401973886,304.8653299515946,0.0018514337109038,349.5873920553762,0.0006418091314509,166.02337777520012,0.0016547190039022,235.2921368347612,11.203150170514151,57.646726881499816,13.478281857282305,5.014880226778182,169.37853862730222,1.3514689759818168,5.737929044812381,195.6929291730229,16.4308795080508,3.2378835589327184,338.44523127180213,8.625727368434653,2.4978178534139768,527.2763402518351,3.96308244877908,5.232398839088528,564.492972708886,20.51920960880441,2.829170110636952,673.5804837115472,43.7257664619652,5.276940406997944,719.7830606311784,27.55108872431569,3.85678172016339,800.3473940926169,39.664207619107,6.266996764671597,873.2719681602857,51.05002981000625,5.502180654814431,978.0057465823292,17.50497925112863,5.701361544781621,1031.3690726204895,30.11893503456767,5.593377547948139,1043.602986632852,4.544444762366506
United Kingdom,5.0,0.2171561234235829,209062.0,846.0,True,2023-12-14 13:47:14,2023-12-14 15:16:15,5340.419924,5.0,1042.0,8.0,,2020-02-24,"[1, 3, 6, 9]",0.0014822853812419,1.9792317757311928,0.0111794579618068,112.67074763556792,0.0028286738049476,316.9108790742324,0.000422715760739,241.95128149044405,0.0012906115471709,131.48185050558334,0.0003255171432069,314.1070810826338,9.54964815008572,37.37119549533206,12.944518395022072,5.477123974423952,187.0864860634817,10.35923328420969,3.6156672921258135,312.76928309992616,6.271054720449371,3.2018093830930683,462.4757116425009,8.853271224527468,4.412263758578233,531.2222215958903,35.19649812616497,4.815492547617053,596.1800996684055,30.89975343382395,4.674217630840239,672.8079238830628,33.36702501485635,5.443817848283674,741.1198659567478,52.76004998751986,4.4947760817143365,836.3082398789489,6.728034749958841,3.6521320805063953,936.7458410492344,2.7562712917694867,3.289397707130962,1010.970705829754,20.8895030129153,2.171856837707693,1017.7217644330702,4.112027065369265,,,
United States,5.0,0.1292229750881278,520725.0,2298.0,True,2023-12-14 15:16:15,2023-12-14 18:32:42,11787.262903,5.0,1055.0,8.0,0.0,2020-02-11,"[2, 4, 7, 9]",0.0041671525518396,2.7879196563804225,0.0081861036608754,362.8172504197572,0.0028515746739681,213.77468651493265,0.0016413595849802,156.7006415052096,0.0004934941476144,186.26168211688028,0.0005340082772733,301.5672018215607,8.635070881449513,52.41075219001361,14.511786353992935,7.21474530795009,131.12930734045898,6.60774074928721,5.5919387938696765,259.4958960600549,19.76259244938161,6.38250252896867,331.2162170702609,53.57363373101454,3.830916102701168,525.1242653113135,5.304018051434181,5.9105036049131465,543.8214037907628,54.0673871809326,3.50123210343151,670.1090720251768,34.635767592711616,3.885186377624378,872.9032716980107,41.01529599350621,4.069798105939324,975.6484223177488,48.33787383769936,3.141387389917169,1019.3293650913218,20.30525328698066,3.625909719217025,1030.7853025444062,42.533171405561205,,,,,,
Spain,6.0,0.2494851685193279,364304.0,1415.0,True,2023-12-14 18:32:42,2023-12-14 21:22:39,10197.156587,5.0,1068.0,8.0,0.0,2020-01-29,"[3, 4, 8, 10]",0.0043069150752706,2.7426670156317505,0.0054581896936668,295.4176720517128,0.0009506664737074,302.31086760681114,0.0009153624724441,351.33225116155364,0.0008877079957161,142.354573001253,0.0005316106420091,310.9056404459811,11.357566733262852,58.453088242306656,12.709059653736126,5.139311219333599,168.41543303315515,4.279572301152797,5.954900608944037,251.8803704477972,53.5865176189273,3.117827680378848,338.1436855471761,11.60249381817738,2.190669471362902,524.1070689371171,4.630107800551702,4.542144258811793,561.2897361711691,20.8262912362586,3.3354514073721715,657.0557787141995,26.680320554618195,5.12460925794973,730.7683783864268,10.270885155344466,3.808917344511763,816.5491484702949,53.563728421524914,5.52752043878625,875.5208901234129,54.79577291166328,5.0746891758594606,978.3570644652594,18.411445333548905,4.127911088619073,1016.9636938082692,52.916547884217685,5.493447330615775,1043.689946807482,30.99251660162174
United Kingdom,6.0,0.29642147541605174,151584.0,611.0,True,2023-12-17 20:32:40,2023-12-17 21:41:27,4127.425055,5.0,1042.0,8.0,,2020-02-24 00:00:00,"[1, 3, 6, 9]",0.0014807924903379498,1.9809481905449728,0.013176804940452324,265.6586873825026,0.006127346828372824,221.5427972637853,0.00042956728069853413,227.42939006026907,0.000761483106901506,128.4047706579487,0.00023751245277486323,177.62907665942785,10.291304434656725,37.214478268884584,13.573600033268713,5.445539930398819,187.77816154752648,10.254118997336846,6.746682480715286,311.6834269336433,54.989036529668084,4.775960823359199,462.4325320494593,21.307093651406518,5.428859385762597,537.193720569022,20.127236369439427,5.098225820688413,589.2717492636928,15.93788792733842,4.611103494724978,661.9455137797204,2.8008585076289982,4.2133747423947945,740.7614965564394,4.453625538544308,3.349712133557015,839.8110079355209,9.43154089749272,2.3983282594156874,933.2494057412179,2.1313116230840095,2.503425023378505,1012.8341803199836,5.294777648803734,2.261076359821562,1017.917228494096,25.3548778516392,,,
United States,6.0,0.1247637547710672,379656.0,1679.0,True,2023-12-17 21:41:27,2023-12-18 00:11:29,9002.364981,5.0,1055.0,8.0,0.0,2020-02-11 00:00:00,"[2, 4, 7, 9]",0.0016368359034600278,2.6522172736010106,0.0074883920994417005,339.528946307828,0.002161818669424368,179.7872089431113,0.0018378083461987116,277.4974237571045,0.0005575949027012809,203.14866773358338,0.0004327951397243145,127.34470952219864,8.534332053876469,52.57261780212521,14.792746256185044,7.135819854168416,131.3477484656626,8.481086569873828,5.34046318973631,265.58560750982826,35.64583210912034,5.811681911612005,319.40336958757337,48.501097417996554,4.1282195387816065,517.8629980799458,10.573638873377735,5.0079463252304315,571.9510206348821,17.2522876405584,2.906809698450345,674.0685694919614,32.76683779080773,3.5916318786341495,879.4707380094128,48.65558113388936,4.441617386836877,975.2630075454102,54.54368651183394,4.523441395544593,1021.9321600047423,54.90994538660919,3.6943470735172808,1030.827862481244,30.365581110845973,,,,,,
Spain,7.0,0.25236572492633214,245100.0,951.0,True,2023-12-18 00:11:29,2023-12-18 02:06:15,6885.327859,5.0,1068.0,8.0,0.0,2020-01-29 00:00:00,"[3, 4, 8, 10]",0.002713460342845283,2.7490341218244643,0.011495717406083418,192.21392058372768,0.0007178045048663606,179.942550831308,0.0010879103888242,335.5822733316776,0.0005069157418528689,118.82066110168066,0.0008272375968341707,363.5040477442092,11.856775745087775,57.56834586912733,14.25605139201776,5.077370366724772,169.21574241385338,4.667410663853833,6.125798722335666,205.82039238101262,32.51765368780384,3.7454505401473366,336.3480756710614,10.285870709424131,2.7884185624998277,527.3627160381159,8.228844787539455,5.2670267430953475,563.9605935650004,14.684250935440831,3.056626878935424,672.7431336665132,45.158843494236265,4.942018216336953,723.165922759702,30.343202767099402,3.8458028809908535,803.4021913253374,37.13850866563355,5.513719552213676,878.1178662671712,54.60331448033639,4.6902434292742665,979.7612732176017,8.349996401647097,4.965281111225337,1032.0007172535363,48.44352597968411,3.8817527592697787,1043.5070443045113,30.086932942277052
United Kingdom,7.0,0.22227780623461096,267836.0,1106.0,True,2023-12-18 02:06:15,2023-12-18 03:55:38,6563.555391,5.0,1042.0,8.0,,2020-02-24 00:00:00,"[1, 3, 6, 9]",0.0014819722506925889,1.9714293894215238,0.010817778176655652,201.6118403033666,0.002785083998847833,292.29658224558085,0.0004870983738379607,266.37866242390464,0.0007039246205786894,167.85831273932922,0.0006885405548448607,117.003915937586,9.373548394856742,37.136225302597765,13.062538617417637,5.424311731799553,187.6193697542069,7.730011365200788,3.5692151681455413,313.00414758159303,6.963430583832615,2.870085234897251,464.5241380575199,21.13701736604742,3.4763013585307605,511.7438144633294,8.53033736928992,3.4407132893878463,591.402622127572,45.092989825833264,3.0517997027692725,663.4056175000887,9.930466198530546,4.0365406217828665,743.093812570046,55.80545774806521,4.8444447825248815,840.4964246060264,51.96741968777049,6.201143603962501,942.0209572699328,52.15020117332638,5.415744630789526,1010.7320930914402,5.858424502687999,4.615104591195984,1017.2676835645726,16.57451709290045,,,
United States,7.0,0.13000486143487802,348722.0,1527.0,True,2023-12-18 03:55:38,2023-12-18 06:08:30,7971.368156,5.0,1055.0,8.0,0.0,2020-02-11 00:00:00,"[2, 4, 7, 9]",0.002359168333262529,2.6549105291570276,0.006855959158740134,190.85598841717112,0.0033619775946076534,100.14125532115837,0.0016615981486132652,94.65121453706783,0.00038399664029914395,139.6435646985176,0.00036126733464033895,280.45699618996986,8.693026634644642,51.45482516679347,15.649531681006328,7.212553357481203,148.45911863512544,43.113567994257025,5.733658064740604,269.9947934315516,28.039186663164333,7.453228703606656,333.2251835907129,38.99624770092928,4.860891795279514,519.5968963725174,12.830376672796541,6.6026452118491505,560.3196723143086,39.52910809342384,3.807041779174908,674.9171841753064,36.27517242020788,3.8124815901916316,829.0341884943825,31.444028604304915,3.407308179382525,975.3156109750515,49.444201058097974,3.1580946560272762,1020.8559099053208,30.793062745108106,2.610892726384544,1030.3472164666236,25.606596271676914,,,,,,
