days_to_fit_within_outbreak,outbreak,date,train_period,estimated_new_deaths_mean,estimated_new_deaths_lower_bound,estimated_new_deaths_upper_bound,actual_death_rate,actual_inside_confidence_interval
21.0,8.0,2020-05-02,False,4.595403365965984,3.1351610795689897,5.904873241186131,0.4211933093222614,False
21.0,8.0,2020-05-03,False,5.151915579679096,3.5837955755743596,6.610247292980331,0.4398364071960545,False
21.0,8.0,2020-05-04,False,5.725591348474036,3.9344029904612015,7.447911964029415,0.4591126668844293,False
21.0,8.0,2020-05-05,False,6.303710549219891,4.509237768783534,8.19041566716539,0.4724794163033752,False
21.0,8.0,2020-05-06,False,6.873978661951474,4.822378671667878,8.898432226653998,0.4831728158385321,False
21.0,8.0,2020-05-07,False,7.421677559790216,5.2127743739452805,9.721226534127613,0.49555464687924,False
21.0,8.0,2020-05-08,False,7.930906506426206,5.353265219217981,10.54158169038455,0.5084289371090669,False
21.0,8.0,2020-05-09,False,8.390088104215112,5.68808461059778,11.05043764420407,0.5232027127826387,False
21.0,8.0,2020-05-10,False,8.785553256290015,5.885803665174574,11.70624831191734,0.5308006545576187,False
21.0,8.0,2020-05-11,False,9.107871778630187,6.264736799583451,12.015103242067008,0.5383282450198671,False
21.0,8.0,2020-05-12,False,9.352059629373773,6.45290217510875,12.66722129151735,0.5468407538603537,False
21.0,8.0,2020-05-13,False,9.514237666432551,6.58778867215098,12.582913920638159,0.5553532627008405,False
21.0,8.0,2020-05-14,False,9.595315200403684,6.472448442319723,12.919262214284897,0.5640064741667897,False
21.0,8.0,2020-05-15,False,9.598210202033497,6.150804216632261,12.776776253630128,0.5635140149776706,False
21.0,8.0,2020-05-16,False,9.527539954288304,6.477077155283854,12.554218841109954,0.563373312352208,False
21.0,8.0,2020-05-17,False,9.393984750178479,6.443652403798549,12.573475900536785,0.5696345791852934,False
21.0,8.0,2020-05-18,False,9.205319195945963,6.117512960622581,12.341520142326367,0.5718858211926947,False
21.0,8.0,2020-05-19,False,8.971216041588246,6.250123478075086,11.99203709363633,0.5690014173707116,False
21.0,8.0,2020-05-20,False,8.70168830843049,5.806420982837716,11.738306530032363,0.5635140149776706,False
21.0,8.0,2020-05-21,False,8.404002402827278,5.96241014655729,11.358996654813437,0.5620366374103134,False
21.0,8.0,2020-05-22,False,8.087049410279079,5.428845573631353,10.901802811513024,0.5730817935091268,False
21.0,8.0,2020-05-23,False,7.7586782240797065,5.012398023535338,10.429235876864697,0.5715340646290383,False
21.0,8.0,2020-05-24,False,7.424329280402924,5.085964136638043,9.842342753417482,0.5639361228540584,False
21.0,8.0,2020-05-25,False,7.089688264603664,4.745408797719629,9.35908128027162,0.5649913925450278,False
21.0,8.0,2020-05-26,False,6.760068607461237,4.658503890244306,9.04654842724602,0.5578155586464358,False
21.0,8.0,2020-05-27,False,6.437689363489236,4.5368424785537,8.566182992314644,0.5618255834721195,False
21.0,8.0,2020-05-28,False,6.12562458015915,4.202877764989085,8.21326900991294,0.55858942308648,False
21.0,8.0,2020-05-29,False,5.827291818389256,4.04685757810099,7.748363949674548,0.550710076060575,False
21.0,8.0,2020-05-30,False,5.543400245408558,4.103745822402709,7.25945855659745,0.5483884827404424,False
21.0,8.0,2020-05-31,False,5.274273124033594,3.800445822110412,6.788882905296131,0.5443784579147585,False
21.0,8.0,2020-06-01,False,5.021799839466259,3.659604777874493,6.467673890108389,0.5400870278381495,False
21.0,8.0,2020-06-02,False,4.786430990089615,3.4953018099947903,6.1352910617562495,0.5434638908492517,False
21.0,8.0,2020-06-03,False,4.5672236533961765,3.5187055501199023,5.823146797564538,0.5388207042089862,False
21.0,8.0,2020-06-04,False,4.364114042884434,3.3852572619599357,5.383110105954795,0.538750352896255,False
21.0,8.0,2020-06-05,False,4.177227284002783,3.252299821948775,5.25251235100779,0.5319966268740506,False
21.0,8.0,2020-06-06,False,4.006390711624421,3.111443524394437,5.004141644743306,0.5303785466812309,False
21.0,8.0,2020-06-07,False,3.8510662381823977,3.0599522379176767,4.73168011986437,0.52707203498286,False
21.0,8.0,2020-06-08,False,3.7098471146969176,2.95969640753794,4.541479665276653,0.5205293628988497,False
21.0,8.0,2020-06-09,False,3.580968114226182,2.831297380229319,4.381779638471317,0.5141273934403018,False
21.0,8.0,2020-06-10,False,3.465373137682099,2.804655774649559,4.210313590695131,0.5119465027456317,False
21.0,8.0,2020-06-11,False,3.361113412387361,2.688802547727065,4.098491744238282,0.5075847213562914,False
21.0,8.0,2020-06-12,False,3.2680176436665205,2.6003073712295426,4.009570584961551,0.5074440187308287,False
21.0,8.0,2020-06-13,False,3.1847591848311323,2.519821620053165,3.9150550447177106,0.5066701542907845,False
21.0,8.0,2020-06-14,False,3.110536003846504,2.433635006527179,3.866768186162236,0.506810856916247,False
21.0,8.0,2020-06-15,False,3.044611268669055,2.307585382311612,3.8359245954035726,0.5060369924762029,False
21.0,8.0,2020-06-16,False,2.9865147338156732,2.2431879761761926,3.8044062679566975,0.5073033161053662,False
21.0,8.0,2020-06-17,False,2.935129155518815,2.170962400749631,3.848064529222832,0.5056148845998151,False
